Name,Quantity,Category,Location
Thrasher mag 2023/9,1,Books & Media,Living Room
BKS Iyengar YOGA,1,Books & Media,Living Room
Hay,1,Books & Media,Living Room
The local project 10,1,Books & Media,Living Room
Bauhaus,1,Books & Media,Living Room
Drawing,1,Books & Media,Living Room
American Impression,1,Books & Media,Living Room
Art In America  2022/9,1,Books & Media,Living Room
Casa Brutus 2023/5,1,Books & Media,Living Room
Ganni Shoe box,1,Shoes,Living Room
Bug painting,1,Home Decor,Living Room
Ikea human figure,1,Home Decor,Living Room
UCLA key chain,1,Personal Accessories,Living Room
Prada tote,1,Clothing & Accessories,Living Room
Prada small bag,1,Clothing & Accessories,Living Room
Ikea lint roller,1,Cleaning & Laundry Supplies,Living Room
Feeding bowl mat,1,Miscellaneous,Living Room
Pegboard 30 * 22,1,Storage & Organization,Living Room
Herman Miller story bookshelves,1,Storage & Organization,Living Room
Sonos One,1,Electronics,Living Room
Marshall Speaker,1,Electronics,Living Room
hanging lamp,1,Electronics,Living Room
Money Tree,1,Plants & Gardening Supplies,Living Room
Monstera big,1,Plants & Gardening Supplies,Living Room
Oak mounting board,1,Plants & Gardening Supplies,Ikea Container White 1
Black cylinder planters,10,Plants & Gardening Supplies,Ikea Container White 1
White cylinder planters,3,Plants & Gardening Supplies,Ikea Container White 1
Medium planters,4,Plants & Gardening Supplies,Ikea Container White 1
Ikea pink planter,1,Plants & Gardening Supplies,Ikea Container White 1
Clear/Transperant Planters,5,Plants & Gardening Supplies,Ikea Container White 1
Clear plastic cups,10,Plants & Gardening Supplies,Ikea Container White 1
Mother grow lights components,1,Plants & Gardening Supplies,Ikea Container White 1
Planter hangers,3,Plants & Gardening Supplies,Ikea Container White 1
"Amz 5"" white saucers",2,Plants & Gardening Supplies,Ikea Container White 1
Glass vases,7,Plants & Gardening Supplies,White/Beige Plant Holder
Cork Cup Coasters,7,Plants & Gardening Supplies,Ikea Container White 1
Green binds,100,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
OOK Hangers,50,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Surgery Knife blades,4,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Bug catching stickers,100,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Small Green Plant wall mounts,100,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Fertilizer holders,20,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Plant labels (bought),50,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Petkit litter liners,10,Plants & Gardening Supplies,Gray Bin
Seed planters,8,Plants & Gardening Supplies,Woven Basket
Small planter pebbles,2,Plants & Gardening Supplies,Woven Basket
"D-rings, Hanging wires",1,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
Pins,200,Plants & Gardening Supplies,Ikea Cabinet Left Bottom
Osmocote 肥料 fertilizer,1,Plants & Gardening Supplies,Gray Bin
Bonide Insect control 殺蟲,1,Plants & Gardening Supplies,Gray Bin
Perlite,1,Plants & Gardening Supplies,Ikea Cabinet Left Bottom
各種土,1,Plants & Gardening Supplies,Ikea Cabinet Left Bottom
3-in-1 殺蟲,1,Plants & Gardening Supplies,Ikea Cabinet Right Bottom
Skadis long trays,4,Plants & Gardening Supplies,Ikea Cabinet Right Bottom
Small green bloom set掃把,1,Plants & Gardening Supplies,Ikea Cabinet Right Bottom
White round hanging planters,2,Plants & Gardening Supplies,Ikea Cabinet Right Bottom
Cardboard boxes (shipping),10,Plants & Gardening Supplies,Ikea Cabinet Right Bottom
Shipping envelopes,10,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
Sony Headphone case,1,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
Plant cutter大剪刀,1,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
若干綠色bind,5,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
Molly vinyl gloves box,1,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
nitrile gloves L,1,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
Plant green binds,1,Plants & Gardening Supplies,Ikea Cabinet Right Upper Drawer
Vacuum Sealer,1,Appliances,Kitchen Countertop Dishwasher
張小泉菜刀,1,Kitchenware,Kitchen Countertop Dishwasher
張小泉砍刀,1,Kitchenware,Kitchen Countertop Dishwasher
張小泉水果刀,1,Kitchenware,Kitchen Countertop Dishwasher
張小泉主廚刀,1,Kitchenware,Kitchen Countertop Dishwasher
Shun Chef Knife,1,Kitchenware,Kitchen Countertop Dishwasher
Kitchen Scissors,1,Kitchenware,Kitchen Countertop Dishwasher
Bread knife,1,Kitchenware,Kitchen Countertop Dishwasher
steel wok spatula,1,Kitchenware,Kitchen Countertop Dishwasher
white silicon spatuala,1,Kitchenware,Kitchen Countertop Dishwasher
steel strainer,1,Kitchenware,Kitchen Countertop Dishwasher
Oxo Tongue,1,Kitchenware,Kitchen Countertop Dishwasher
Ikea Tongue,1,Kitchenware,Kitchen Countertop Dishwasher
Wooden Rolling pin,1,Kitchenware,Kitchen Countertop Dishwasher
Wooden spatuala,1,Kitchenware,Kitchen Countertop Dishwasher
Grater,1,Kitchenware,Kitchen Countertop Dishwasher
Cake spatuala,1,Kitchenware,Kitchen Countertop Dishwasher
Steel rolling pin,1,Kitchenware,Kitchen Countertop Dishwasher
Plastic flipper,1,Kitchenware,Kitchen Countertop Dishwasher
Ikea black soup spoon,1,Kitchenware,Kitchen Countertop Dishwasher
Oxo wooden spatuala,1,Kitchenware,Kitchen Countertop Dishwasher
Ikea Ice bucket,1,Kitchenware,Kitchen Countertop Dishwasher
Glass bowl,1,Kitchenware,Kitchen Countertop Dishwasher
Oxo brush,1,Kitchenware,Kitchen Countertop Dishwasher
Bamboo Steamer,1,Kitchenware,Above Fridge
Cuisinart Blender,1,Appliances,Above Fridge
Rice cooker,1,Appliances,Above Fridge
Steel food wash strainer,1,Kitchenware,Above Fridge
Steel food wash bowl,1,Kitchenware,Above Fridge
Bamboo Dish tray with stickers,1,Kitchenware,Above Fridge
Earth non-sticky wok,1,Kitchenware,Kitchen Wall Pegboard
"8"" non-sticky pan",1,Kitchenware,Kitchen Wall Pegboard
"8"" cast iron pan",1,Kitchenware,Kitchen Wall Pegboard
"8"" mesh strainer",1,Kitchenware,Kitchen Wall Pegboard
"4"" mesh strainer",1,Kitchenware,Kitchen Wall Pegboard
"6"" saucer pan",1,Kitchenware,Kitchen Wall Pegboard
"6"" lid",1,Kitchenware,Kitchen Wall Pegboard
"12"" cast iron lid",1,Kitchenware,Kitchen Wall Pegboard
"12"" glass lid",1,Kitchenware,Kitchen Wall Pegboard
"12"" cast iron pan",1,Kitchenware,Kitchen Wall Pegboard
Measuring spoons,1,Kitchenware,Kitchen Wall Pegboard
Tamagoyaki pan,1,Kitchenware,Kitchen Wall Pegboard
Carbon steel wok,1,Kitchenware,Kitchen Wall Pegboard
Liquid fertilizer,1,Plants & Gardening Supplies,Kitchen Countertop Drying Rack
Dish detergent,1,Cleaning & Laundry Supplies,Kitchen Countertop Drying Rack
Simplehuman Caddy,1,Cleaning & Laundry Supplies,Kitchen Countertop Drying Rack
Scraper Chopper / Dough Cutter,1,Kitchenware,Kitchen Countertop Drying Rack
Simplehuman Dish drying rack,1,Kitchenware,Kitchen Countertop Drying Rack
Fruit Chopping board,1,Kitchenware,Kitchen Countertop Drying Rack
Vege Chopping board,1,Kitchenware,Kitchen Countertop Drying Rack
Meat Chopping board,1,Kitchenware,Kitchen Countertop Drying Rack
Chopping board rack,1,Kitchenware,Kitchen Countertop Drying Rack
Steel tray,1,Kitchenware,Kitchen Countertop Drying Rack
Ice cream container,1,Kitchenware,Kitchen Cabinet - Above Dish Rack
Sunflower oil,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
soy sauce,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
Black 保溫杯 container,1,Kitchenware,Kitchen Cabinet - Above Dish Rack
Rice vinegar,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
八珍甜醋,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
Ketchup,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
Corn Syrup,1,Pantry Items/Groceries,Kitchen Cabinet - Above Dish Rack
Bowls,10,Kitchenware,Kitchen Cabinet - Above Dish Rack
Large Plates,6,Kitchenware,Kitchen Cabinet - Above Dish Rack
Small Plates,6,Kitchenware,Kitchen Cabinet - Above Dish Rack
Salsa Bowls,5,Kitchenware,Kitchen Cabinet - Above Dish Rack
KitchenAid Mixer heads,3,Appliances,Kitchen Cabinet - Above Dish Rack
Flat Ice scream scoop,2,Kitchenware,Kitchen Drawer 1
tube brush,1,Kitchenware,Kitchen Drawer 1
Oxo ice cream scoop,1,Kitchenware,Kitchen Drawer 1
Bakery scoop with thermometer,1,Kitchenware,Kitchen Drawer 1
Garlic mincer,1,Kitchenware,Kitchen Drawer 1
Spice brush,2,Kitchenware,Kitchen Drawer 1
Zyliss can opener,1,Kitchenware,Kitchen Drawer 1
Cast iron pan sleeves,1,Kitchenware,Kitchen Drawer 1
Knives (Molly),3,Kitchenware,Kitchen Drawer 2
Citrus juicer,1,Kitchenware,Kitchen Drawer 2
Long Chopsticks,6,Kitchenware,Kitchen Drawer 2
Black handle sleeve,1,Kitchenware,Kitchen Drawer 1
Bread knife sheath,1,Kitchenware,Kitchen Drawer 2
Bamboo wok spatula,1,Kitchenware,Kitchen Drawer 3
bamboo su la table spatula,1,Kitchenware,Kitchen Drawer 3
ikea black tongue,1,Kitchenware,Kitchen Drawer 3
ikea black soup spoon,1,Kitchenware,Kitchen Drawer 3
steel soup spoon,1,Kitchenware,Kitchen Drawer 3
steel soup spoon with oil strainer,1,Kitchenware,Kitchen Drawer 3
white bottle brush,1,Kitchenware,Kitchen Drawer 3
pair of salad spoon & fork,1,Kitchenware,Kitchen Drawer 3
gray bakery spatula,1,Kitchenware,Kitchen Drawer 3
garnish bamboo pins for cocktail,1,Kitchenware,Kitchen Drawer 3
pouch egg makers,1,Kitchenware,Kitchen Drawer 3
steamer rack small,1,Kitchenware,Kitchen Drawer 3
handheld mixer head,1,Kitchenware,Kitchen Drawer 3
zinc ice cream scoop,1,Kitchenware,Kitchen Drawer 3
Electric garlic mincer,1,Kitchenware,Kitchen Drawer 4
Meat tenderizer,1,Kitchenware,Kitchen Drawer 4
Green electric kitchen multi tool,1,Kitchenware,Kitchen Drawer 4
sauce pump temu,1,Kitchenware,Kitchen Drawer 4
Stainless steel straws,1,Kitchenware,Kitchen Drawer 5
Cooking Thermo,1,Kitchenware,Kitchen Drawer 5
kitchen towels,1,Kitchenware,K Cabinet - 2
Empty bottles,1,Kitchenware,K Cabinet - 2
Coffee grinder,1,Kitchenware,K Cabinet - 2
red wine waker,1,Kitchenware,Kitchen Drawer 6
red wine opener,1,Kitchenware,Kitchen Drawer 6
peeler,1,Kitchenware,Kitchen Drawer 6
cocktail strainer,1,Kitchenware,Kitchen Drawer 6
rice spatula,1,Kitchenware,Kitchen Drawer 6
coffee sock,1,Kitchenware,Kitchen Drawer 6
stir spoon,1,Kitchenware,Kitchen Drawer 6
黑芝麻Black sesame,1,Pantry Items/Groceries,K Cabinet - Tray 1
黑胡椒Ground Black pepper,1,Pantry Items/Groceries,K Cabinet - Tray 1
No-salt seasoning,1,Pantry Items/Groceries,K Cabinet - Tray 1
Granulated Onion,1,Pantry Items/Groceries,K Cabinet - Tray 1
Whole black peppercorns,1,Pantry Items/Groceries,K Cabinet - Tray 1
陳皮,1,Pantry Items/Groceries,K Cabinet - Tray 1
Soffritto,1,Pantry Items/Groceries,K Cabinet - Tray 2
八角,1,Pantry Items/Groceries,K Cabinet - Tray 2
藏紅花Saffron,1,Pantry Items/Groceries,K Cabinet - Tray 2
花椒,1,Pantry Items/Groceries,K Cabinet - Tray 2
bay leaves,1,Pantry Items/Groceries,K Cabinet - Tray 2
白芝麻,1,Pantry Items/Groceries,K Cabinet - Tray 2
辣椒粉,1,Pantry Items/Groceries,K Cabinet - Tray 2
冰糖,1,Pantry Items/Groceries,K Cabinet - Tray 3
桂皮,1,Pantry Items/Groceries,K Cabinet - Tray 3
杏仁粉,1,Pantry Items/Groceries,K Cabinet - Tray 4
cocoa powder,1,Pantry Items/Groceries,K Cabinet - Tray 4
砂糖,1,Pantry Items/Groceries,K Cabinet - Tray 4
草果,1,Pantry Items/Groceries,K Cabinet - Tray 4
vanilla extract,1,Pantry Items/Groceries,K Cabinet - Tray 4
almond extract,1,Pantry Items/Groceries,K Cabinet - Tray 4
Kosher salt,1,Pantry Items/Groceries,K Cabinet - Tray 3
Tahini,1,Pantry Items/Groceries,K Cabinet - Tray 3
yellow beans,1,Pantry Items/Groceries,K Cabinet - Tray 3
薏米,1,Pantry Items/Groceries,K Cabinet - Tray 3
五香粉,1,Pantry Items/Groceries,K Cabinet - Tray 3
花椒粉,1,Pantry Items/Groceries,K Cabinet - Tray 3
滷包袋,1,Kitchenware,K Cabinet - Tray 3